age,height,weight,workoutDays,gender_male,goal_gainMuscle,fitnessLevel_beginner,workout_completion,weight_change
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
23,190,90,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
24,188,87,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
19,175,70,3,1,1,1,1,0.0
